Title,Author,Average_Rating
Julius Caesar,William Shakespeare,3.71
The Glass Castle,Jeannette Walls,4.33
"Kingdom of Ash (Throne of Glass, #7)",Sarah J. Maas,4.71
"You Are Special (Wemmicksville, #1)",Max Lucado,4.45
"A Wizard of Earthsea (Earthsea Cycle, #1)",Ursula K. Le Guin,4.01
"Drums of Autumn (Outlander, #4)",Diana Gabaldon,4.36
The Arabian Nights,Anonymous,4.03
Cyrano de Bergerac,Edmond Rostand,4.06
"Slammed (Slammed, #1)",Colleen Hoover,4.14
"Acheron (Dark-Hunter, #14)",Sherrilyn Kenyon,4.56
Pericles and Aspasia: A Story of Ancient Greece,Yvonne Korshak,4.29
The Glass Menagerie,Tennessee Williams,3.74
The Holy Bible: King James Version,Anonymous,4.45
"World Without End (Kingsbridge, #2)",Ken Follett,4.32
The Collector,John Fowles,3.97
"To All the Boys I've Loved Before (To All the Boys I've Loved Before, #1)",Jenny Han,4.04
"Good Girl, Bad Blood (A Good Girl's Guide to Murder, #2)",Holly  Jackson,4.26
"The Knife of Never Letting Go (Chaos Walking, #1)",Patrick Ness,3.98
"1Q84 (1Q84, #1-3)",Haruki Murakami,3.95
"Viciously Yours (Fae Kings of Eden, #1)",Jamie Applegate Hunter,3.60
We Need to Talk About Kevin,Lionel Shriver,4.08
Requiem for a Dream,Hubert Selby Jr.,4.11
"Carry On (Simon Snow, #1)",Rainbow Rowell,4.16
"Hunted (House of Night, #5)",P.C. Cast,3.93
"The Scorch Trials (The Maze Runner, #2)",James Dashner,3.89
"A Dog's Purpose (A Dog's Purpose, #1)",W. Bruce Cameron,4.36
No One Can Know,Kate Alice Marshall,3.65
Taming Flame,Therisa Peimer,4.28
"The Silver Chair (Chronicles of Narnia, #4)",C.S. Lewis,3.95
"Captive in the Dark (The Dark Duet, #1)",C.J. Roberts,3.93
Gray After Dark,Noelle W. Ihli,4.19
Before I Fall,Lauren Oliver,3.88
Interpreter of Maladies,Jhumpa Lahiri,4.18
"The Bean Trees (Greer Family, #1)",Barbara Kingsolver,4.01
"Inheritance (The Inheritance Cycle, #4)",Christopher Paolini,4.16
The Merchant of Venice,William Shakespeare,3.78
"The Secret (The Secret, #1)",Rhonda Byrne,3.74
"P.S. I Love You (P.S. I Love You, #1)",Cecelia Ahern,4.03
"Inferno (Robert Langdon, #4)",Dan    Brown,3.90
"Wicked Lovely (Wicked Lovely, #1)",Melissa Marr,3.70
A Brief History of Time,Stephen Hawking,4.21
The Bluest Eye,Toni Morrison,4.13
"As Good As Dead (A Good Girl's Guide to Murder, #3)",Holly  Jackson,4.19
Project Hail Mary,Andy Weir,4.50
"Prince Caspian (Chronicles of Narnia, #2)",C.S. Lewis,3.98
"The Queen of the Damned (The Vampire Chronicles, #3)",Anne Rice,3.92
"The Blood of Olympus (The Heroes of Olympus, #5)",Rick Riordan,4.43
The Club,Ellery Lloyd,3.28
"Think Twice (Myron Bolitar, #12)",Harlan Coben,4.24
"The House in the Cerulean Sea (Cerulean Chronicles, #1)",T.J. Klune,4.37
Ask for Andrea,Noelle W. Ihli,4.08
Gravity’s Rainbow,Thomas Pynchon,4.01
All the King's Men,Robert Penn Warren,4.09
"The Eyre Affair (Thursday Next, #1)",Jasper Fforde,3.88
Educated,Tara Westover,4.47
One Day in the Life of Ivan Denisovich,Aleksandr Solzhenitsyn,3.98
Head Like a Hole,Andrew Van Wey,3.84
"Guards! Guards! (Discworld, #8; City Watch, #1)",Terry Pratchett,4.34
Invisible Monsters,Chuck Palahniuk,4.00
"Girl, Interrupted",Susanna Kaysen,3.94
"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas,4.16
House of Leaves,Mark Z. Danielewski,4.09
"Lover Eternal (Black Dagger Brotherhood, #2)",J.R. Ward,4.32
Because of Winn-Dixie,Kate DiCamillo,4.10
The Roommate,Kiersten Modglin,3.77
"The Bourne Identity (Jason Bourne, #1)",Robert Ludlum,4.05
"Assassin's Apprentice (Farseer Trilogy, #1)",Robin Hobb,4.19
"Poison Study (Study, #1)",Maria V. Snyder,4.09
Seabiscuit: An American Legend,Laura Hillenbrand,4.23
Foucault’s Pendulum,Umberto Eco,3.91
"Twenty Thousand Leagues Under the Sea (Captain Nemo, #2)",Jules Verne,3.89
The Girl Who Was Taken,Charlie Donlea,4.17
"House of Earth and Blood (Crescent City, #1)",Sarah J. Maas,4.45
Look Closer,David Ellis,4.16
The Memory Keeper's Daughter,Kim Edwards,3.70
The Ocean at the End of the Lane,Neil Gaiman,4.01
"Not Forever, But For Now",Chuck Palahniuk,3.04
"City of Ashes (The Mortal Instruments, #2)",Cassandra Clare,4.10
Mythology,Edith Hamilton,4.03
Peace Like a River,Leif Enger,4.03
The Night Before Christmas,Clement Clarke Moore,4.40
The Iliad,Homer,3.93
A People’s History of the United States: 1492 - Present,Howard Zinn,4.09
"Being a Witch, and Other Things I Didn't Ask For",Sara Pascoe,4.28
If We Were Villains,M.L. Rio,4.10
"Where She Went (If I Stay, #2)",Gayle Forman,3.97
"Oedipus Rex  (The Theban Plays, #1)",Sophocles,3.73
"Oryx and Crake (MaddAddam, #1)",Margaret Atwood,4.00
"The Talisman (The Talisman, #1)",Stephen        King,4.11
The History of Love,Nicole Krauss,3.92
The Purpose Driven Life: What on Earth Am I Here for?,Rick Warren,3.98
Grimm's Fairy Tales,Jacob Grimm,4.23
"Simon vs. the Homo Sapiens Agenda (Simonverse, #1)",Becky Albertalli,4.13
"The Fiery Cross (Outlander, #5)",Diana Gabaldon,4.26
"The Hero of Ages (Mistborn, #3)",Brandon Sanderson,4.56
Native Son,Richard Wright,4.04
Starship Troopers,Robert A. Heinlein,4.01
"One of Us Is Lying (One of Us is Lying, #1)",Karen M. McManus,3.91
The Yellow Wallpaper and Other Stories,Charlotte Perkins Gilman,4.07
"Gone (Gone, #1)",Michael  Grant,3.87
"The Killer Angels (The Civil War Trilogy, #2)",Michael Shaara,4.33
"A Breath of Snow and Ashes (Outlander, #6)",Diana Gabaldon,4.44
"One for the Money (Stephanie Plum, #1)",Janet Evanovich,4.05
"Champion (Legend, #3)",Marie Lu,4.31
The Shards,Bret Easton Ellis,4.00
The Midnight Library,Matt Haig,3.98
Archer's Voice,Mia Sheridan,4.17
I Am Legend and Other Stories,Richard Matheson,4.00
If on a Winter’s Night a Traveler,Italo Calvino,4.02
"Night Watch (Discworld, #29; City Watch, #6)",Terry Pratchett,4.50
"Left Behind (Left Behind, #1)",Tim LaHaye,3.86
Watchers,Dean Koontz,4.19
From the Mixed-Up Files of Mrs. Basil E. Frankweiler,E.L. Konigsburg,4.16
"Shadowfever (Fever, #5)",Karen Marie Moning,4.39
"Darkfever (Fever, #1)",Karen Marie Moning,4.05
"Corrupt (Devil's Night, #1)",Penelope Douglas,3.78
"The Murder of Roger Ackroyd (Hercule Poirot, #4)",Agatha Christie,4.26
The Magus,John Fowles,4.05
"Death on the Nile (Hercule Poirot, #18)",Agatha Christie,4.12
"Scythe (Arc of a Scythe, #1)",Neal Shusterman,4.32
The Beach,Alex Garland,3.99
"Alanna: The First Adventure (Song of the Lioness, #1)",Tamora Pierce,4.27
"Pretties (Uglies, #2)",Scott Westerfeld,3.83
John Adams,David McCullough,4.08
Rosencrantz and Guildenstern Are Dead,Tom Stoppard,4.04
The Book of Mormon: Another Testament of Jesus Christ,Joseph Smith Jr.,4.23
Under the Dome,Stephen        King,3.93
Possession,A.S. Byatt,3.90
The Blind Assassin,Margaret Atwood,3.96
"The Ballad of Never After (Once Upon a Broken Heart, #2)",Stephanie Garber,4.49
"The Death Cure (The Maze Runner, #3)",James Dashner,3.78
"The Sisterhood of the Traveling Pants (Sisterhood, #1)",Ann Brashares,3.85
Papillon,Henri Charrière,4.23
"Once Upon a Broken Heart (Once Upon a Broken Heart, #1)",Stephanie Garber,4.06
Cosmos,Carl Sagan,4.40
House of Sand and Fog,Andre Dubus III,3.86
"Odd Thomas (Odd Thomas, #1)",Dean Koontz,3.99
Bury My Heart at Wounded Knee: An Indian History of the American West,Dee Brown,4.26
"Consequences (Consequences, #1)",Aleatha Romig,3.92
The Agony and the Ecstasy,Irving Stone,4.09
The Sirens of Titan,Kurt Vonnegut Jr.,4.15
"Lover Unbound (Black Dagger Brotherhood, #5)",J.R. Ward,4.31
"Storm Front (The Dresden Files, #1)",Jim  Butcher,3.97
"Truth (Consequences, #2)",Aleatha Romig,4.34
On Writing: A Memoir of the Craft,Stephen        King,4.34
"Keeper of the Lost Cities (Keeper of the Lost Cities, #1)",Shannon Messenger,4.40
Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt,4.01
"The Talented Mr. Ripley (Ripley, #1)",Patricia Highsmith,3.95
Veronika Decides to Die,Paulo Coelho,3.74
Less Than Zero,Bret Easton Ellis,3.60
How to Win Friends & Influence People,Dale Carnegie,4.22
The Drowning Woman,Robyn Harding,4.03
A Heartbreaking Work of Staggering Genius,Dave Eggers,3.69
The Elegance of the Hedgehog,Muriel Barbery,3.80
Corelli’s Mandolin,Louis de Bernières,4.03
Murder on Family Grounds (Mary Wandwalker #3),Susan  Rowland,4.29
"Magical Midlife Awakening (Leveling Up, #9)",K.F. Breene,4.63
Something Wicked This Way Comes,Ray Bradbury,3.90
"Killing Sarai (In the Company of Killers, #1)",J.A. Redmerski,4.08
The Witch of Blackbird Pond,Elizabeth George Speare,4.03
"Prodigy (Legend, #2)",Marie Lu,4.22
"I'd Tell You I Love You, But Then I'd Have to Kill You (Gallagher Girls, #1)",Ally Carter,3.84
Prodigal Summer,Barbara Kingsolver,4.05
Meditations,Marcus Aurelius,4.28
"The Alienist (Dr. Laszlo Kreizler, #1)",Caleb Carr,4.06
Crash,J.G. Ballard,3.60
"A Canticle for Leibowitz (St. Leibowitz, #1)",Walter M. Miller Jr.,3.99
The Aeneid,Virgil,3.87
"A Court of Wings and Ruin (A Court of Thorns and Roses, #3)",Sarah J. Maas,4.46
Song of Solomon,Toni Morrison,4.15
Digital Fortress,Dan    Brown,3.70
Battle Royale,Koushun Takami,4.26
The Trigger: Hunting the Assassin Who Brought the World to War,Tim Butcher,3.81
"Tears of Tess (Monsters in the Dark, #1)",Pepper Winters,3.98
Around the World in Eighty Days,Jules Verne,3.95
This Is How You Lose the Time War,Amal El-Mohtar,3.85
Stoner,John  Williams,4.35
"Love Story (Love Story, #1)",Erich Segal,3.65
"The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency, #1)",Alexander McCall Smith,3.81
"It Ain't Me, Babe (Hades Hangmen, #1)",Tillie Cole,4.04
Ficciones,Jorge Luis Borges,4.40
Jitterbug Perfume,Tom Robbins,4.23
"Tempted (House of Night, #6)",P.C. Cast,3.95
Ivanhoe,Walter Scott,3.76
Holy Bible: New International Version,Anonymous,4.63
Howl and Other Poems,Allen Ginsberg,4.13
Anthem,Ayn Rand,3.61
"The High Auction (Wisdom Revolution, #1)",Misba,4.69
"An Ember in the Ashes (An Ember in the Ashes, #1)",Sabaa Tahir,4.24
"The Color of Magic (Discworld, #1; Rincewind, #1)",Terry Pratchett,3.99
"One Fish, Two Fish, Red Fish, Blue Fish",Dr. Seuss,4.18
"The Oldest Dance (Wisdom Revolution, #2)",Misba,4.70
The Polymorph,Max Nowaz,4.27
"Confessions of a Shopaholic (Shopaholic, #1)",Sophie Kinsella,3.71
"Rubinrot (Edelstein-Trilogie, #1)",Kerstin Gier,4.14
"Princess Academy (Princess Academy, #1)",Shannon Hale,4.04
"The Assassin's Blade (Throne of Glass, #0.1-0.5)",Sarah J. Maas,4.20
"Darkly Dreaming Dexter (Dexter, #1)",Jeff Lindsay,3.90
"Ender's Shadow (The Shadow Series, #1)",Orson Scott Card,4.32
The Story of My Life,Helen Keller,4.08
"The Big Sleep (Philip Marlowe, #1)",Raymond Chandler,3.94
Mistress Suffragette,Diana   Forbes,4.29
The Magic Mountain,Thomas Mann,4.13
Babel,R.F. Kuang,4.15
"Souls Unfractured (Hades Hangmen, #3)",Tillie Cole,4.41
One Day,David Nicholls,3.87
Message in a Bottle,Nicholas Sparks,3.98
"Antigone (The Theban Plays, #3)",Sophocles,3.68
"A Darker Shade of Magic (Shades of Magic, #1)",V.E. Schwab,4.04
The Invention of Hugo Cabret,Brian Selznick,4.22
"Fablehaven (Fablehaven, #1)",Brandon Mull,4.14
"Club Dead (Sookie Stackhouse, #3)",Charlaine Harris,4.02
Walk Two Moons,Sharon Creech,4.00
A Winter Grave,Peter  May,4.06
Orlando,Virginia Woolf,3.87
"Living Dead in Dallas (Sookie Stackhouse, #2)",Charlaine Harris,3.96
The Power of Myth,Joseph Campbell,4.26
The Shell Seekers,Rosamunde Pilcher,4.20
It's Kind of a Funny Story,Ned Vizzini,4.07
Angle of Repose,Wallace Stegner,4.24
"The Girl in the Eagle's Talons (Millennium, #7)",Karin Smirnoff,3.42
The Marriage Portrait,Maggie O'Farrell,4.01
The Jungle Books,Rudyard Kipling,4.01
The Corrections,Jonathan Franzen,3.84
"Glass Houses (The Morganville Vampires, #1)",Rachel Caine,3.92
Hard-Boiled Wonderland and the End of the World,Haruki Murakami,4.11
"Inara (Godfrey Davis, #3)",A.R. Merrydew,4.35
The Namesake,Jhumpa Lahiri,4.02
"A Dead and Stormy Night (Nevermore Bookshop Mysteries, #1)",Steffanie Holmes,3.91
"Lover Revealed (Black Dagger Brotherhood, #4)",J.R. Ward,4.28
An Abundance of Katherines,John Green,3.51
"The Edge of Never (The Edge of Never, #1)",J.A. Redmerski,4.22
Keep It in the Family,John Marrs,4.07
Cryptonomicon,Neal Stephenson,4.23
Jude the Obscure,Thomas Hardy,3.83
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.16
Geek Love,Katherine Dunn,3.95
"Mary Poppins (Mary Poppins, #1)",P.L. Travers,4.01
"The Passage (The Passage, #1)",Justin Cronin,4.05
Still Alice,Lisa Genova,4.32
"Small Gods (Discworld, #13)",Terry Pratchett,4.32
I Am the Messenger,Markus Zusak,4.03
"Into the Wild (Warriors, #1)",Erin Hunter,4.32
"The Well of Ascension (Mistborn, #2)",Brandon Sanderson,4.38
"Haunting Adeline (Cat and Mouse, #1)",H.D. Carlton,3.94
"Lover Avenged (Black Dagger Brotherhood, #7)",J.R. Ward,4.36
Last Exit to Brooklyn,Hubert Selby Jr.,3.93
Between Shades of Gray,Ruta Sepetys,4.37
"The Lies of Vampires and Slayers (Magic on Main Street, #1)",K.M. Shea,4.35
The Moon Is a Harsh Mistress,Robert A. Heinlein,4.15
Living Fearless: Exchanging the Lies of the World for the Liberating Truth of God,Jamie Winship,4.44
"Winter (The Lunar Chronicles, #4)",Marissa Meyer,4.41
"Mort (Discworld, #4; Death, #1)",Terry Pratchett,4.24
"The Restaurant at the End of the Universe (The Hitchhiker's Guide to the Galaxy, #2)",Douglas Adams,4.20
Dandelion Wine,Ray Bradbury,4.09
Chasing the Devil: The Search for Africa's Fighting Spirit,Tim Butcher,4.13
My Name Is Asher Lev,Chaim Potok,4.24
"Fire (Graceling Realm, #2)",Kristin Cashore,4.09
The Omnivore's Dilemma: A Natural History of Four Meals,Michael Pollan,4.19
Choke,Chuck Palahniuk,3.71
The White Tiger,Aravind Adiga,3.77
"The Poppy War (The Poppy War, #1)",R.F. Kuang,4.17
The Portrait of a Lady,Henry James,3.80
On Earth We're Briefly Gorgeous,Ocean Vuong,4.02
No Longer Human,Osamu Dazai,3.95
"From Blood and Ash (Blood and Ash, #1)",Jennifer L. Armentrout,4.22
Wild Swans: Three Daughters of China,Jung Chang,4.30
Howards End,E.M. Forster,3.96
"Finale (Hush, Hush, #4)",Becca Fitzpatrick,4.11
"Heretical Fishing (Heretical Fishing, #1)",Haylock Jobson,4.26
"Worm Holes (Quantum Roots, #2)",Kyle Keyes,4.34
Twenty Years Later,Charlie Donlea,4.18
The Forgotten Garden,Kate Morton,4.16
A Room of One’s Own,Virginia Woolf,4.22
"The Hawthorne Legacy (The Inheritance Games, #2)",Jennifer Lynn Barnes,4.19
"The Dark Tower (The Dark Tower, #7)",Stephen        King,4.29
Tender Is the Night,F. Scott Fitzgerald,3.77
The Very Secret Society of Irregular Witches,Sangu Mandanna,4.04
"The Hunt for Red October (Jack Ryan, #3)",Tom Clancy,4.12
We Have Always Lived in the Castle,Shirley Jackson,3.91
Audition,Ryū Murakami,3.50
"The Eden Paradox (Eden Paradox, #1)",Barry Kirwan,4.21
The Bridges of Madison County,Robert James Waller,3.71
The Long Walk,Richard  Bachman,4.04
"Linger (The Wolves of Mercy Falls, #2)",Maggie Stiefvater,3.88
Deception Point,Dan    Brown,3.76
A Walk in the Woods: Rediscovering America on the Appalachian Trail,Bill Bryson,4.07
"The City of Ember (Book of Ember, #1)",Jeanne DuPrau,3.90
Turtles All the Way Down,John Green,3.88
Pale Fire,Vladimir Nabokov,4.17
"Forrest Gump (Forrest Gump, #1)",Winston Groom,4.01
The Sea of Tranquility,Katja Millay,4.29
Survivor,Chuck Palahniuk,3.93
"84, Charing Cross Road",Helene Hanff,4.16
Exodus,Leon Uris,4.34
Ethan Frome,Edith Wharton,3.46
The Sorrows of Young Werther,Johann Wolfgang von Goethe,3.69
The Ruthless Elimination of Hurry: How to Stay Emotionally Healthy and Spiritually Alive in the Chaos of the Modern World,John Mark Comer,4.51
"Absalom, Absalom!",William Faulkner,3.99
Gift from the Sea,Anne Morrow Lindbergh,4.14
Nausea,Jean-Paul Sartre,3.93
The Fall,Albert Camus,4.03
The Three Witches and the Master,Max Nowaz,4.30
"Kingdom of Ash (Throne of Glass, #7)",Sarah J. Maas,4.71
"A Study in Scarlet (Sherlock Holmes, #1)",Arthur Conan Doyle,4.13
"Walking Disaster (Beautiful, #2)",Jamie McGuire,4.14
Where the Heart Is,Billie Letts,4.04
"Daughter of the Forest  (Sevenwaters, #1)",Juliet Marillier,4.29
"Dead as a Doornail (Sookie Stackhouse, #5)",Charlaine Harris,4.01
"Kane & Abel (Kane & Abel, #1)",Jeffrey Archer,4.34
Beach Read,Emily Henry,3.97
The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,4.27
"The Ruins of Gorlan (Ranger's Apprentice, #1)",John Flanagan,4.26
Illusions: The Adventures of a Reluctant Messiah,Richard Bach,4.15
"The Mysterious Benedict Society (The Mysterious Benedict Society, #1)",Trenton Lee Stewart,4.20
Thus Spoke Zarathustra,Friedrich Nietzsche,4.07
Hello Beautiful,Ann Napolitano,4.13
Revolutionary Road,Richard Yates,3.93
"Iron Flame (The Empyrean, #2)",Rebecca Yarros,4.36
"The Ballad of Songbirds and Snakes (The Hunger Games, #0)",Suzanne Collins,3.99
"The Reckoning (Darkest Powers, #3)",Kelley Armstrong,4.18
Heartless,Marissa Meyer,4.09
Shakespeare's Sonnets,William Shakespeare,4.25
"Specials (Uglies, #3)",Scott Westerfeld,3.75
High-Rise,J.G. Ballard,3.60
"Breaking Dawn (The Twilight Saga, #4)",Stephenie Meyer,3.75
